ID,URL,IDE,project_name,languages,project_category
P1,https://github.com/abusallam/agentic-site,Kiro,agentic-site,"Python, TypeScript, Shell, JavaScript",AI / Machine Learning / Agent
P2,https://github.com/adam-lohnes/__instructions-generator__,Cursor,__instructions-generator__,JavaScript,Developer Tools & Platform Utilities
P3,https://github.com/alexjbuck/cursor-primer,Cursor,cursor-primer,HTML,Developer Tools & Platform Utilities
P4,https://github.com/AndrewESmith/TheWanderer,Kiro,TheWanderer,"TypeScript, JavaScript, HTML, CSS",Game Development
P5,https://github.com/az9713/photo-organizer-kiro,Kiro,photo-organizer-kiro,Python,"Media, Content & Creative Tools"
P6,https://github.com/BingZi-233/AetherWeb,Cursor,AetherWeb,"Vue, TypeScript",Web Application (Frontend)
P7,https://github.com/bulgogi-whopper/taptik-cli,Kiro,taptik-cli,"TypeScript, SQL",Web Application (Full-stack)
P8,https://github.com/chan-ok/knowledge,Cursor,knowledge,TypeScript,Web Application (Frontend)
P9,https://github.com/CLBray/r2-browser,Kiro,r2-browser,"TypeScript, JavaScript",Developer Tools & Platform Utilities
P10,https://github.com/cstnaya/FirstVibingCode-AIImageGenerator,Cursor,FirstVibingCode-AIImageGenerator,TypeScript,AI / Machine Learning / Agent
P11,https://github.com/cynmazza/Spirt-of-kiro,Kiro,Spirt-of-kiro,"TypeScript, Vue, JavaScript, Shell",Web Application (Frontend)
P12,https://github.com/cyyyu/ascii-canvas,Cursor,ascii-canvas,TypeScript,Web Application (Frontend)
P13,https://github.com/Damiloju/fiscaflow,Cursor,fiscaflow,Go,Web Application (Backend)
P14,https://github.com/danielkellyio/ai-created-url-shortner,Cursor,ai-created-url-shortner,"Vue, TypeScript, JavaScript",Web Application (Full-stack)
P15,https://github.com/danielnachumdev/cyfox-assignment,Kiro,cyfox-assignment,"TypeScript, JavaScript",Web Application (Full-stack)
P16,https://github.com/davidamacey/OpenTranscribe,Windsurf,OpenTranscribe,"Python, Svelte, TypeScript, Shell","Media, Content & Creative Tools"
P17,https://github.com/easychen/ainterview,Qoder,ainterview,JavaScript,AI / Machine Learning / Agent
P18,https://github.com/eliaspfeffer/Cursor-super-human,Cursor,Cursor-super-human,"Python, HTML, CSS, JavaScript",AI / Machine Learning / Agent
P19,https://github.com/enesmuzaffer22/basic-page-builder-made-by-ai,Cursor,basic-page-builder-made-by-ai,"TypeScript, CSS",Web Application (Frontend)
