major_category,subcategory,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,total_responses,english_column_present,chinese_column_present,mean_score,std_score
Architecture & Design,System Architecture,3,2,15,26,53,99,True,True,4.253,0.988
Architecture & Design,Design Principles & Patterns,2,5,19,32,41,99,True,True,4.061,0.993
Architecture & Design,Design References & Constraints,2,3,15,33,46,99,True,True,4.192,0.939
Architecture & Design,Technology Stack Selections,1,5,20,25,48,99,True,True,4.152,0.978
Code Implementation,Language Features,7,6,15,34,37,99,True,True,3.889,1.18
Code Implementation,Framework Usage,1,5,22,33,38,99,True,True,4.03,0.948
Code Implementation,Code Style Conventions,10,5,19,24,41,99,True,True,3.818,1.298
Code Implementation,Business Logic,4,3,18,24,50,99,True,True,4.141,1.073
Code Implementation,Performance Optimization,5,14,14,31,35,99,True,True,3.778,1.211
Code Implementation,Error & Exception Handling,1,9,20,28,41,99,True,True,4.0,1.035
Development Workflow & Project Management,Workflow Conventions,6,5,26,30,32,99,True,True,3.778,1.133
Development Workflow & Project Management,Version Control,6,10,21,28,34,99,True,True,3.747,1.201
Development Workflow & Project Management,Environment Configuration,4,17,17,25,36,99,True,True,3.727,1.229
Development Workflow & Project Management,Directory Structure,3,9,16,26,45,99,True,True,4.02,1.119
Development Workflow & Project Management,Dependency Management,3,12,19,33,32,99,True,True,3.798,1.11
Development Workflow & Project Management,Project Documentation,2,4,18,31,44,99,True,True,4.121,0.977
Quality Assurance,Testing Strategy,4,7,23,33,32,99,True,True,3.828,1.083
Quality Assurance,Security Practices,5,6,22,28,38,99,True,True,3.889,1.136
Quality Assurance,Code Quality Standards,3,9,17,33,37,99,True,True,3.929,1.085
Quality Assurance,Code Review,7,10,23,30,29,99,True,True,3.646,1.2
Quality Assurance,Logging Standards,7,8,25,32,27,99,True,True,3.646,1.166
AI Collaboration Specifications,AI Behavior & Decision Strategies,4,5,17,35,38,99,True,True,3.99,1.059
AI Collaboration Specifications,AI Context Management,4,3,15,27,50,99,True,True,4.172,1.054
AI Collaboration Specifications,AI Output Content Guidelines,11,8,22,26,32,99,True,True,3.606,1.309
AI Collaboration Specifications,AI Tool Usage,4,10,13,24,48,99,True,True,4.03,1.176
