category_level,category_name,analyzed_count,evolved_count,change_rate,added_count,added_ratio_in_category,modified_count,modified_ratio_in_category,deleted_count,deleted_ratio_in_category
first_level,Architecture & Design,1356,314,0.231563,169,0.538217,80,0.254777,65,0.207006
second_level,Technology Stack Selections,515,124,0.240777,64,0.516129,45,0.362903,15,0.120968
second_level,Design Principles & Patterns,493,78,0.158215,51,0.653846,6,0.076923,21,0.269231
second_level,System Architecture,195,67,0.343590,34,0.507463,16,0.238806,17,0.253731
second_level,Design References & Constraints,153,45,0.294118,20,0.444444,13,0.288889,12,0.266667
first_level,Code Implementation,1921,388,0.201978,256,0.659794,51,0.131443,81,0.208763
second_level,Framework Usage,448,116,0.258929,79,0.681034,11,0.094828,26,0.224138
second_level,Code Style Conventions,407,78,0.191646,49,0.628205,21,0.269231,8,0.102564
second_level,Performance Optimization,330,23,0.069697,8,0.347826,0,0.000000,15,0.652174
second_level,Language Features,273,43,0.157509,22,0.511628,7,0.162791,14,0.325581
second_level,Error & Exception Handling,255,46,0.180392,30,0.652174,5,0.108696,11,0.239130
second_level,Business Logic,208,82,0.394231,68,0.829268,7,0.085366,7,0.085366
first_level,Development Workflow & Project Management,1898,483,0.254478,313,0.648033,92,0.190476,78,0.161491
second_level,Workflow Conventions,679,182,0.268041,106,0.582418,41,0.225275,35,0.192308
second_level,Project Documentation,497,104,0.209256,75,0.721154,11,0.105769,18,0.173077
second_level,Directory Structure,288,107,0.371528,63,0.588785,28,0.261682,16,0.149533
second_level,Environment Configuration,174,35,0.201149,25,0.714286,4,0.114286,6,0.171429
second_level,Version Control,157,42,0.267516,34,0.809524,6,0.142857,2,0.047619
second_level,Dependency Management,103,13,0.126214,10,0.769231,2,0.153846,1,0.076923
first_level,Quality Assurance,1295,214,0.165251,134,0.626168,38,0.177570,42,0.196262
second_level,Testing Strategy,640,118,0.184375,77,0.652542,28,0.237288,13,0.110169
second_level,Security Practices,290,21,0.072414,7,0.333333,1,0.047619,13,0.619048
second_level,Code Quality Standards,254,60,0.236220,37,0.616667,8,0.133333,15,0.250000
second_level,Logging Standards,58,4,0.068966,3,0.750000,0,0.000000,1,0.250000
second_level,Code Review,53,11,0.207547,10,0.909091,1,0.090909,0,0.000000
first_level,AI Collaboration Specifications,840,141,0.167857,81,0.574468,30,0.212766,30,0.212766
second_level,AI Behavior & Decision Strategies,414,68,0.164251,32,0.470588,12,0.176471,24,0.352941
second_level,AI Output Content Guidelines,218,24,0.110092,12,0.500000,9,0.375000,3,0.125000
second_level,AI Context Management,129,41,0.317829,31,0.756098,7,0.170732,3,0.073171
second_level,AI Tool Usage,79,8,0.101266,6,0.750000,2,0.250000,0,0.000000
