source,sheet_row,timestamp,Correction,Refinement,Synchronization,Context Enrichment,Expansion,Pruning,Other_selected,other_text
english,2,2026-01-11 23:03:11.808000,1,0,0,1,0,0,0,
english,3,2026-01-12 08:51:38.986000,1,1,1,1,0,0,0,
english,4,2026-01-13 18:43:47.866000,0,0,1,1,0,0,0,
english,5,2026-01-14 21:45:38.946000,1,0,1,1,1,1,0,
english,6,2026-01-15 00:54:59.864000,1,1,0,0,0,0,0,
english,7,2026-01-15 17:23:56.824000,0,1,0,1,1,0,0,
english,8,2026-01-15 17:33:08.129000,1,0,1,1,0,0,0,
english,9,2026-01-15 17:42:28.750000,1,1,1,0,0,1,0,
english,10,2026-01-15 19:07:41.230000,0,0,0,0,1,1,0,
english,11,2026-01-16 15:24:21.908000,0,1,0,1,1,0,0,
english,12,2026-01-16 15:27:34.023000,1,1,1,1,0,1,0,
english,13,2026-01-16 16:01:25.537000,0,1,1,1,0,1,0,
english,14,2026-01-16 20:29:12.744000,0,1,1,1,0,0,0,
english,15,2026-01-17 19:32:51.197000,1,0,1,0,0,0,0,
english,16,2026-01-17 21:34:36.832000,1,1,0,0,0,0,0,
english,17,2026-01-19 19:21:47.630000,0,1,1,1,1,1,0,
english,18,2026-01-19 21:41:27.509000,1,0,1,0,0,0,0,
english,19,2026-01-20 00:06:12.971000,1,1,0,0,0,1,0,
english,20,2026-01-20 01:35:20.668000,1,0,0,1,0,0,0,
english,21,2026-01-21 11:33:44.606000,1,1,1,1,1,1,0,
english,22,2026-01-21 15:07:57.226000,0,1,0,1,1,0,0,
english,23,2026-01-21 17:52:23.761000,1,1,0,0,1,1,0,
english,24,2026-01-21 22:27:58.807000,1,1,1,1,1,1,0,
english,25,2026-01-21 23:18:35.222000,1,1,0,1,0,0,0,
english,26,2026-01-22 14:50:07.956000,0,1,1,0,0,0,0,
english,27,2026-01-22 16:06:14.952000,1,0,0,0,1,0,0,
english,28,2026-01-22 21:59:02.488000,1,1,1,1,1,1,0,
english,29,2026-01-23 21:33:07.005000,1,0,0,0,0,1,0,
english,30,2026-01-23 21:58:49.406000,1,0,0,0,0,0,0,
english,31,2026-01-23 22:57:35.707000,0,1,1,0,1,1,0,
english,32,2026-01-24 05:57:20.754000,0,0,1,1,0,0,0,
english,33,2026-01-25 12:36:25.682000,1,0,1,1,0,0,0,
english,34,2026-01-26 17:25:30.459000,1,0,0,0,0,0,0,
english,35,2026-01-26 17:28:48.904000,1,0,1,1,0,1,0,
english,36,2026-01-26 17:56:53.251000,1,1,0,1,0,0,0,
english,37,2026-01-27 23:20:58.400000,1,0,1,1,0,0,0,
english,38,2026-01-28 00:42:41.999000,1,1,1,1,1,1,0,
english,39,2026-01-28 09:36:53.172000,1,1,1,1,1,0,0,
english,40,2026-01-29 21:05:41.156000,1,1,0,1,0,0,0,
english,41,2026-01-30 09:44:58.583000,1,0,0,1,0,0,0,
english,42,2026-01-30 14:36:51.418000,1,1,0,1,0,1,0,
english,43,2026-01-30 22:40:29.112000,1,1,1,1,1,0,0,
english,44,2026-02-01 03:19:14.643000,1,0,1,0,0,0,0,
english,45,2026-02-03 16:52:29.625000,1,0,1,0,0,0,0,
english,46,2026-02-04 04:20:59.843000,1,1,1,1,1,1,0,
english,47,2026-02-04 15:10:54.440000,1,0,1,1,0,0,0,
english,48,2026-02-05 20:55:29.366000,1,1,0,0,0,0,0,
english,49,2026-02-07 10:50:00.834000,1,0,0,1,0,0,0,
english,50,2026-02-08 00:32:58.907000,1,1,1,1,0,1,0,
english,51,2026-02-08 07:53:37.518000,1,1,0,0,0,1,0,
english,52,2026-02-08 12:11:02.421000,0,1,1,0,0,0,0,
english,53,2026-02-11 14:54:14.682000,1,1,1,1,1,1,0,
english,54,2026-02-19 21:37:25.338000,1,1,0,0,1,0,0,
chinese,2,2026-01-15 16:12:41,1,1,0,0,1,1,0,
chinese,3,2026-01-17 14:46:53,1,0,0,0,0,0,0,
chinese,4,2026-01-19 15:43:40,1,0,0,1,0,1,0,
chinese,5,2026-01-19 15:47:40,1,1,1,0,1,0,0,
chinese,6,2026-01-19 17:41:55,1,1,1,1,0,0,0,
chinese,7,2026-01-20 11:44:41,0,0,0,0,1,1,0,
chinese,8,2026-01-20 14:11:19,1,1,0,0,0,1,0,
chinese,9,2026-01-20 21:48:36,1,1,1,1,1,1,0,
chinese,10,2026-01-22 02:04:34,1,1,1,1,1,1,0,
chinese,11,2026-01-22 14:17:58,0,1,0,0,0,0,0,
chinese,12,2026-01-22 14:40:32,1,0,0,0,0,0,0,
chinese,13,2026-01-23 19:15:35,1,1,0,1,1,1,0,
chinese,14,2026-01-25 17:22:27,1,0,1,1,0,0,0,
chinese,15,2026-01-25 20:11:11,1,1,0,0,0,0,0,
chinese,16,2026-01-26 20:54:35,0,1,0,0,0,1,0,
chinese,17,2026-01-28 15:44:55,1,1,0,1,1,0,0,
chinese,18,2026-01-28 16:41:48,1,0,0,1,0,0,0,
chinese,19,2026-01-30 16:32:53,0,0,1,1,0,0,0,
chinese,20,2026-01-30 16:38:37,1,1,1,1,0,1,0,
chinese,21,2026-01-30 18:07:47,1,1,0,0,0,1,0,
chinese,22,2026-01-31 08:53:59,1,0,0,1,0,0,0,
chinese,23,2026-01-31 20:51:36,1,1,1,1,0,1,0,
