category,+5,+4,+3,+2,+1,0,-1,-2,-3,-4,-5,Prev5%,Curr%,Next5%
Directory Structure (n=56),0.3333,0.2647,0.4600,0.4722,0.5000,0.7660,0.6571,0.6750,0.6486,0.6842,0.6757,0.4982,0.7660,0.7080
Technology Stack Selections (n=27),0.6000,0.5000,0.5000,0.5833,0.6111,0.8571,0.7647,0.6364,0.9091,0.6000,0.6154,0.5944,0.8571,0.7315
Project Documentation (n=16),0.2857,0.3333,0.2308,0.1000,0.3077,0.3636,0.2727,0.4167,0.3333,0.2222,0.4167,0.3375,0.3636,0.4000
Testing Strategy (n=11),0.0000,0.3333,0.5000,0.3333,0.4286,1.0000,1.0000,0.6667,1.0000,0.8000,1.0000,0.3818,1.0000,0.9091
Code Style Conventions (n=10),0.5000,0.4000,0.5316,0.8800,1.0000,0.6000,0.6429,0.5000,0.7500,0.8333,0.6667,0.6996,0.6000,0.7721
Framework Usage (n=7),,0.5000,0.0000,0.2000,0.5000,0.6667,0.5000,0.7500,1.0000,0.7500,0.5000,0.3571,0.6667,0.8214
Dependency Management (n=6),0.0000,0.3333,0.3333,0.5000,0.5000,0.8333,1.0000,0.9722,1.0000,1.0000,1.0000,0.3333,0.8333,0.9815
Design References & Constraints (n=6),0.5000,0.2500,0.2500,0.0000,0.0000,1.0000,0.7500,1.0000,1.0000,0.5000,0.5833,0.3333,1.0000,0.6667
Workflow Conventions (n=6),0.6000,0.5000,0.6000,0.3333,0.5000,1.0000,1.0000,0.8333,1.0000,1.0000,1.0000,0.6667,1.0000,0.9167
System Architecture (n=5),0.3333,0.7500,0.5000,0.0000,0.8000,0.6000,0.6667,0.5000,0.8000,0.7500,0.7500,0.7167,0.6000,0.7500
Environment Configuration (n=4),,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.6667,1.0000,0.6667,0.0000,0.0000,1.0000,0.7500
Design Principles & Patterns (n=3),1.0000,,1.0000,1.0000,,1.0000,,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000
Business Logic (n=1),,,,1.0000,1.0000,,,,1.0000,1.0000,,1.0000,,1.0000
Language Features (n=1),,0.0000,,,,,,,,,0.0000,0.0000,,0.0000
Version Control (n=1),,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
