rule_id,+5,+4,+3,+2,+1,0,-1,-2,-3,-4,-5,Prev5%,Curr%,Next5%
E13_02,-,-,T0,T1,T1,T1,T1,T1,T1,T1,-,0.6667,1.0000,1.0000
E13_05,-,-,T0,T0,T0,T1,T1,T1,T1,T1,-,0.0000,1.0000,1.0000
E13_09,-,-,T0,T0,T0,T1,T1,T1,T1,F,-,0.0000,1.0000,1.0000
E13_14,-,-,T0,T0,T0,T1,T1,T1,F,T1,-,0.0000,1.0000,1.0000
E13_16,-,-,T0,T0,F,T1,T1,F,F,F,-,0.0000,1.0000,1.0000
E14_01,-,-,-,F,T1,T1,-,T1,T1,T1,F,1.0000,1.0000,1.0000
E14_02,-,-,-,T0,T1,T0,-,F,T1,T0,F,0.5000,0.0000,0.5000
E15_02,T0,T0,-,T0,T0,-,T1,T1,F,F,T1,0.0000,,1.0000
E16_07,T1,T1,T1,-,T5;0,T1,T1,T1,T1,T1,T1,1.0000,1.0000,1.0000
E16_10,T1;0,F,T0;1,F,T0;0,-,T0;1,T0;2,F,T1;0,T1;0,0.5000,,0.4000
E16_12,T0,T0,T0,T0,T0,-,F,T1,F,F,T1,0.0000,,1.0000
E16_13,T0,T0,T0,T0,T0,-,T1,T1,T1,T1,T1,0.0000,,1.0000
E16_31,F,F,F,T1,T1,-,F,-,T1,T1,F,1.0000,,1.0000
E16_69,T0,T0,T0,T0,T0,-,T1,F,T1,T1,T1,0.0000,,1.0000
E17_13,-,-,-,T2;0,T1;0,T0;0,F,T1;0,T1;0,F,T2;0,1.0000,,1.0000
E17_16,-,-,-,T1,T1,T1,T1,T1,T1,T1,T1,1.0000,1.0000,1.0000
E17_20,T0;0,F,T0;1,T0;1,F,T2;0,F,F,T1;0,T3;0,F,0.0000,1.0000,1.0000
E17_24,F,T2;0,F,F,T0;0,T1;0,F,F,F,T0;0,T1;0,1.0000,1.0000,1.0000
E17_25,F,F,F,F,T0;1,F,T1;0,F,T1;0,F,F,0.0000,,1.0000
E18_02,T0,T0,F,T0,F,T0,T0,T0,T0,T0,-,0.0000,0.0000,0.0000
E20_04,-,-,T0,-,T0,T1,F,F,T1,-,T1,0.0000,1.0000,1.0000
E20_23,-,-,T0,-,T0,T0,T0,T0,T0,-,T0,0.0000,0.0000,0.0000
E21_03,-,T1,T1,T1,F,T1,F,T1,F,F,T1,1.0000,1.0000,1.0000
E21_04,-,T1,T0,F,F,T0,T1,F,T0,T0,T0,0.5000,0.0000,0.2500
E21_05,-,F,F,F,T1,F,F,T1,F,F,F,1.0000,,1.0000
E21_06,-,F,T1,T1,T1,F,F,F,F,F,T1,1.0000,,1.0000
E21_07,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E21_09,-,T0,T0,F,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E21_10,-,T0,T0,T0,T0,T0,T0,F,T0,T0,T0,0.0000,0.0000,0.0000
E21_11,-,F,F,F,T1,F,F,F,T1,F,T0,1.0000,,0.5000
E21_12,-,F,F,F,T1,F,F,T1,T1,F,F,1.0000,,1.0000
E21_13,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E21_14,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,F,0.0000,0.0000,0.0000
E21_15,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E21_16,-,F,T1,F,T1,T1,F,F,T1,F,T1,1.0000,1.0000,1.0000
E21_17,-,T1,T1,T1,T1,T1,T1,T1,T1,F,T1,1.0000,1.0000,1.0000
E21_18,-,T0,T0,T0,T0,T0,T0,T0,T0,F,T0,0.0000,0.0000,0.0000
E21_20,-,T0,T0,F,T0,T0,F,T0,T0,T0,F,0.0000,0.0000,0.0000
E21_21,-,T0;1,T1,F,T1,F,F,F,T0,F,F,0.6667,,0.0000
E21_22,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,F,0.0000,0.0000,0.0000
E21_23,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E21_24,-,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E22_04,T0,T0,T0,T0,T0,T1,T1,T1,T1,F,T1,0.0000,1.0000,1.0000
E22_05,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,F,0.0000,1.0000,1.0000
E22_06,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,0.0000,1.0000,1.0000
E22_07,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,0.0000,1.0000,1.0000
E22_08,T0,T0,T0,T0,T0,-,T1,F,T1,T1,T1,0.0000,,1.0000
E22_12,T0,T0,T0,T0,T1,T1,T1,T1,T1,F,T1,0.2000,1.0000,1.0000
E22_24,-,-,T1,T1,T1,T1,-,T1,T1,T1,T1,1.0000,1.0000,1.0000
E22_25,-,-,T1,T1,T1,T1,-,T1,T1,T1,F,1.0000,1.0000,1.0000
E22_28,F,F,T8;0,F,F,F,F,F,T8;0,F,F,1.0000,,1.0000
E22_37,F,F,T0;0,T6;0,F,F,F,T1,F,F,-,1.0000,,1.0000
E23_01,F,F,T0,T0,T0,T1,T1,T1,T1,F,F,0.0000,1.0000,1.0000
E27_01,F,T0;1,F,F,T0;0,T0;0,T0;0,F,T0;0,-,T0;4,0.0000,,0.0000
E28_101,T0,-,T1,T1,T1,T1,T1,T1,T1,F,F,0.7500,1.0000,1.0000
E28_102,F,-,T0,T1,F,F,T0,F,F,F,F,0.5000,,0.0000
E28_103,F,-,T1,F,F,T1,T1,T0,F,F,F,1.0000,1.0000,0.5000
E28_107,T20;0,-,T23;21,T5;0,F,F,T5;2,T0;1,T4;0,F,F,0.6957,,0.7500
E28_108,F,-,T0,F,F,T1,F,T8;1,F,F,F,0.0000,1.0000,0.8889
E28_109,T0,T1,F,T1,T1,T1,T1,F,F,T1,T1,0.7500,1.0000,1.0000
E28_111,T0,T1,T0,T0,T0,T1,T0,T0,T0,T0,T1,0.2000,1.0000,0.2000
E28_112,T0,T0,F,F,F,T1,T1,T1,F,F,F,0.0000,1.0000,1.0000
E28_115,T0,F,F,T0,F,T0,F,-,T1,F,F,0.0000,0.0000,1.0000
E28_17,T0,T0,T1,F,T1,T0,F,T0,T0,T0,T0,0.5000,0.0000,0.0000
E28_18,T0,T0,T1,T1,F,T1,F,T1,F,T1,F,0.5000,1.0000,1.0000
E28_19,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E28_20,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,0.0000,0.0000,0.0000
E28_21,T1,T1,T1,T1,T1,T1,F,T1,F,T1,T1,1.0000,1.0000,1.0000
E28_32,T1,F,T1,F,T1,T1,-,F,T1,T1,F,1.0000,1.0000,1.0000
E28_34,F,F,F,F,T1,T1,-,T1,T1,T1,T1,1.0000,1.0000,1.0000
E28_35,T1,F,T1,F,F,F,-,T5;0,T1,F,T1,1.0000,,1.0000
E28_37,F,F,T0,F,T5;0,T0,-,T0,T1,T1,T1,0.8333,0.0000,0.7500
E28_44,T0,-,T1,T1,T1,T1,T1,T1,T1,T1,T1,0.7500,1.0000,1.0000
E28_45,T0,-,T0,T1,T1,T1,T1,T1,F,F,T1,0.5000,1.0000,1.0000
E28_46,F,-,T7;0,T1,T1,T1,T7;0,T1,F,F,F,1.0000,1.0000,1.0000
E28_47,T1,-,T1,F,T1,T1,T1,T1,F,F,T1,1.0000,1.0000,1.0000
E28_51,F,-,T4;2,F,F,T0,T3;3,T1;0,F,F,F,0.6667,0.0000,0.5714
E28_52,T0,T1,T1,F,T1,T1,T1,T1,T1,T1,T1,0.7500,1.0000,1.0000
E28_54,T0,T1,T0,T0,T0,T0,T0,T0,T0,T0,T1,0.2000,0.0000,0.2000
E28_57,T0,T0,T0,T0,T1,T1,-,F,-,F,T1,0.2000,1.0000,1.0000
